experiment,time,a,p_meas
E1,0.0,0.03,0.0
E1,0.5,0.03,0.13276757133209843
E1,1.0,0.03,0.2134148735137667
E1,1.5,0.03,0.13726718007705357
E1,2.0,0.03,0.30621920080314624
E1,3.0,0.03,0.3007602091684199
E1,4.0,0.03,0.3387403021685114
E1,6.0,0.03,0.4687917353398988
E1,8.0,0.03,0.37976352349214715
E1,10.0,0.03,0.32894018677014264
E2,0.0,0.1,0.0
E2,0.5,0.1,0.16127002181053274
E2,1.0,0.1,0.30328276370431195
E2,1.5,0.1,0.5713135925473536
E2,2.0,0.1,0.7328239760709462
E2,3.0,0.1,0.7102507003167737
E2,4.0,0.1,0.9904304709770259
E2,6.0,0.1,1.126488698996161
E2,8.0,0.1,1.1671860744601823
E2,10.0,0.1,1.0660418819238242
E3,0.0,0.3,0.0
E3,0.5,0.3,0.48294002630910604
E3,1.0,0.3,0.92569503333666
E3,1.5,0.3,1.0998809309522666
E3,2.0,0.3,1.4949577892745458
E3,3.0,0.3,1.9190934426207191
E3,4.0,0.3,1.8233840061384055
E3,6.0,0.3,2.3198296299639227
E3,8.0,0.3,2.2295804619155803
E3,10.0,0.3,2.4156662347119857
E4,0.0,1.0,0.0
E4,0.5,1.0,0.8926793086420772
E4,1.0,1.0,1.4366541357261364
E4,1.5,1.0,2.0176958947769448
E4,2.0,1.0,2.2325277149579543
E4,3.0,1.0,2.981044142215525
E4,4.0,1.0,3.4767348929434916
E4,6.0,1.0,3.5905521607342576
E4,8.0,1.0,3.933798825715664
E4,10.0,1.0,3.973223700598488
E5,0.0,3.0,0.0
E5,0.5,3.0,0.8631344839295342
E5,1.0,3.0,1.7575168032542174
E5,1.5,3.0,2.3154373905743664
E5,2.0,3.0,2.904541363516982
E5,3.0,3.0,3.6398029601051634
E5,4.0,3.0,4.2010575194742215
E5,6.0,3.0,4.33040494456203
E5,8.0,3.0,4.7778936349880725
E5,10.0,3.0,4.831311063403838
